Insulation time (h),Concentration (%),Temperature (℃),Length (μm),Diameter (μm),Length to diameter Ratio
1,5,800,2.85,0.59,4.830508475
1,5,800,4.04,0.73,5.534246575
1,5,800,3.78,0.67,5.641791045
1,5,800,3.56,0.77,4.623376623
1,5,800,3.33,0.67,4.970149254
1,5,800,2.76,0.59,4.677966102
1,5,800,2.85,0.57,5
1,5,800,2.99,0.85,3.517647059
1,5,800,4.15,0.79,5.253164557
1,5,800,4.32,0.78,5.538461538
1,7,800,3.54,0.94,3.765957447
1,7,800,3.83,0.75,5.106666667
1,7,800,2.92,0.77,3.792207792
1,7,800,5,0.81,6.172839506
1,7,800,4.31,0.83,5.192771084
1,7,800,4.78,1.11,4.306306306
1,7,800,2.84,1.04,2.730769231
1,7,800,2.49,0.87,2.862068966
1,7,800,3.38,0.89,3.797752809
1,7,800,2.46,0.86,2.860465116
1,9,800,2.71,0.80 ,3.3875
1,9,800,3.29,0.69,4.768115942
1,9,800,4.10 ,0.86,4.76744186
1,9,800,4.64,0.86,5.395348837
1,9,800,4.61,0.76,6.065789474
1,9,800,2.83,0.40 ,7.075
1,9,800,2.23,0.58,3.844827586
1,9,800,3.14,0.62,5.064516129
1,9,800,4.84,0.94,5.14893617
1,9,800,4.10 ,0.76,5.394736842
2,5,800,3.56,1.01,3.524752475
2,5,800,3.59,0.91,3.945054945
2,5,800,2.76,0.99,2.787878788
2,5,800,3.28,0.80 ,4.1
2,5,800,3.18,0.84,3.785714286
2,5,800,2.93,1.00 ,2.93
2,5,800,4.37,0.93,4.698924731
2,5,800,3.03,0.94,3.223404255
2,5,800,3.05,0.87,3.505747126
2,5,800,3.87,0.76,5.092105263
2,7,800,4.51,1.17,3.854700855
2,7,800,3.88,1.01,3.841584158
2,7,800,3.65,1.12,3.258928571
2,7,800,5.10 ,1.13,4.513274336
2,7,800,3.71,1.10 ,3.372727273
2,7,800,3.25,0.87,3.735632184
2,7,800,3.49,0.87,4.011494253
2,7,800,3.59,0.87,4.126436782
2,7,800,3.49,0.88,3.965909091
2,7,800,3.73,0.96,3.885416667
2,9,800,4.64,1.07,4.336448598
2,9,800,4.11,0.84,4.892857143
2,9,800,2.76,0.80 ,3.45
2,9,800,3.54,0.86,4.11627907
2,9,800,2.38,0.84,2.833333333
2,9,800,3.82,0.91,4.197802198
2,9,800,3.45,0.81,4.259259259
2,9,800,3.62,1.05,3.447619048
2,9,800,2.95,0.85,3.470588235
2,9,800,3.12,0.82,3.804878049
3,5,800,3.65,1.01,3.613861386
3,5,800,4.79,0.94,5.095744681
3,5,800,4.11,0.85,4.835294118
3,5,800,3.84,0.87,4.413793103
3,5,800,4.09,0.81,5.049382716
3,5,800,3.95,0.94,4.20212766
3,5,800,3.81,0.83,4.590361446
3,5,800,4.04,0.60 ,6.733333333
3,5,800,4.17,0.99,4.212121212
3,5,800,3.69,1.02,3.617647059
3,7,800,4.82,1.03,4.67961165
3,7,800,3.81,1.25,3.048
3,7,800,4.38,0.94,4.659574468
3,7,800,4.49,0.93,4.827956989
3,7,800,5.20 ,0.91,5.714285714
3,7,800,5.28,1.27,4.157480315
3,7,800,4.87,0.94,5.180851064
3,7,800,3.54,0.70 ,5.057142857
3,7,800,4.12,0.85,4.847058824
3,7,800,5.52,1,5.52
3,9,800,3.18,0.79,4.025316456
3,9,800,3.25,0.84,3.869047619
3,9,800,3.80 ,0.79,4.810126582
3,9,800,4.37,0.66,6.621212121
3,9,800,3.75,0.74,5.067567568
3,9,800,3.04,0.86,3.534883721
3,9,800,3.51,0.87,4.034482759
3,9,800,3.27,0.75,4.36
3,9,800,4.03,0.74,5.445945946
3,9,800,4.38,0.87,5.034482759
4,5,800,5.51,1.28,4.3046875
4,5,800,5.21,0.95,5.484210526
4,5,800,8.02,1.19,6.739495798
