Length (μm),Diameter (μm),Length to diameter Ratio
4.61,0.76,6.065789474
2.49,0.87,2.862068966
3.81,0.83,4.590361446
5.11,0.71,7.197183099
5.56,1.2,4.633333333
3.59,0.91,3.945054945
3.75,0.74,5.067567568
3.46,1.22,2.836065574
7.11,1.11,6.405405405
5.58,1.17,4.769230769
6.87,0.94,7.308510638
5.44,1.06,5.132075472
5.81,1.07,5.429906542
5.86,0.88,6.659090909
4.41,1.14,3.868421053
6.38,1.15,5.547826087
3.6,0.85,4.235294118
5.82,1.06,5.490566038
3.86,0.94,4.106382979
2.76,0.59,4.677966102
3.25,0.87,3.735632184
3.41,0.86,3.965116279
3.13,0.94,3.329787234
8.6,1.01,8.514851485
8.86,1.01,8.772277228
2.84,1.04,2.730769231
5.88,1.05,5.6
4.73,0.74,6.391891892
2.77,1.18,2.347457627
3.56,0.77,4.623376623
3.38,0.89,3.797752809
2.25,0.89,2.528089888
3.65,1.01,3.613861386
4.18,0.99,4.222222222
4.93,0.88,5.602272727
2.77,0.82,3.37804878
3.84,0.87,4.413793103
5.1,1.07,4.76635514
8.32,1.07,7.775700935
5.29,0.79,6.696202532
4.1,0.76,5.394736842
5.81,0.81,7.172839506
7.9,1.27,6.220472441
2.23,0.58,3.844827586
2.99,0.85,3.517647059
7.74,0.94,8.234042553
7.53,1.2,6.275
5.23,1.05,4.980952381
6.82,0.78,8.743589744
5.21,0.95,5.484210526
5.35,0.98,5.459183673
6.9,0.91,7.582417582
3.02,0.75,4.026666667
3.82,0.84,4.547619048
3.63,0.84,4.321428571
4.02,1.24,3.241935484
3.06,0.9,3.4
7.74,0.94,8.234042553
5.37,0.81,6.62962963
7.04,1.12,6.285714286
6.21,1.02,6.088235294
4.36,1.01,4.316831683
5.4,1.15,4.695652174
6.11,1.04,5.875
3.51,0.99,3.545454545
5.03,0.89,5.651685393
5.55,1.06,5.235849057
3.72,0.99,3.757575758
6.05,1.19,5.084033613
3.57,0.88,4.056818182
4.37,0.66,6.621212121
3.47,0.94,3.691489362
3.61,0.76,4.75
5.2,0.91,5.714285714
7.33,1.15,6.373913043
4.3,0.9,4.777777778
4.35,1.02,4.264705882
